Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Beae product countdown end at (product.metafields.beae.countdown),Beae product countdown start at (product.metafields.beae.countdown_from),Conservação (product.metafields.custom.conservacao),Descricao Institucional (product.metafields.custom.descricao_institucional),Preço plano anual (product.metafields.custom.preco_plano_anual),Titulo institucional (product.metafields.custom.titulo_institucional),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Informações sobre alérgenos (product.metafields.shopify.allergen-information),Tipo de chocolate (product.metafields.shopify.chocolate-type),Cor (product.metafields.shopify.color-pattern),Preferências dietéticas (product.metafields.shopify.dietary-preferences),Sabor (product.metafields.shopify.flavor),Tipo de farinha/grão (product.metafields.shopify.flour-grain-type),Ficha técnica do alimento (product.metafields.shopify.food-product-form),Instruções de aquecimento (product.metafields.shopify.heating-instructions),Material (product.metafields.shopify.material),Forma (product.metafields.shopify.shape),Tipo de entrada de chá (product.metafields.shopify.tea-input-type),Produtos complementares (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configurações de produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsionamentos de produtos na pesquisa (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ovo-de-pascoa-chocolate-branco-com-recheio-de-brigadeiro-branco-e-geleia-de-frutas-vermelhas-240g-sca_clone_freegift,🎁 Ovo de Páscoa Chocolate Branco com recheio de brigadeiro branco e geleia de frutas vermelhas. 240g (100% off),"<h2>
                This product is used for the app
                <span style=""text-decoration: underline;"" data-mce-style=""text-decoration: underline;"">
                    <strong>BOGOS.io Free Gift BOGO Bundle</strong>
                </span>
                <strong> to work. </strong>
            </h2>

            <p>
                Please do not delete/edit it while the offers are still running!
                <br>
                If you need assistance, please contact us via Live chat in-app or email us at:
                <span style=""color: #2b00ff;"">
                    <a href=""mailto:help@bogos.io"" target=""_blank"" style=""color: #2b00ff;"" rel=""noopener noreferrer"">help@bogos.io</a>.
                </span>
            </p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Doces e chocolates > Chocolate","",bogos-gift,true,Title,Default Title,,,,,,,,,240.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0774/1148/3884/files/WhatsAppImage2026-02-28at13.55.56_6eb41ff4-fd44-4174-978b-8ee6b80ca7c6.jpg?v=1773365173,1,🎁 Ovo de Páscoa Chocolate Branco com recheio de brigadeiro branco e geleia de frutas vermelhas. 240g (100% off) - Move Gourmet,false,,,4748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,unlisted
ovo-de-pascoa-de-chocolate-recheado-de-brigadeiro-meio-amargo-e-mini-trufa-de-chocolate-120-sca_clone_freegift,🎁 Ovo de Páscoa de Chocolate recheado de brigadeiro meio amargo e mini trufa de chocolate 120g (100% off),"<h2>
                This product is used for the app
                <span style=""text-decoration: underline;"" data-mce-style=""text-decoration: underline;"">
                    <strong>BOGOS.io Free Gift BOGO Bundle</strong>
                </span>
                <strong> to work. </strong>
            </h2>

            <p>
                Please do not delete/edit it while the offers are still running!
                <br>
                If you need assistance, please contact us via Live chat in-app or email us at:
                <span style=""color: #2b00ff;"">
                    <a href=""mailto:help@bogos.io"" target=""_blank"" style=""color: #2b00ff;"" rel=""noopener noreferrer"">help@bogos.io</a>.
                </span>
            </p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Doces e chocolates > Chocolate","",bogos-gift,true,Title,Default Title,,,,,,,,,120.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0774/1148/3884/files/WhatsApp_Image_2026-02-28_at_13.54.55_2cc1d56c-4799-4a94-af8c-c89083008f16.jpg?v=1773320437,1,🎁 Ovo de Páscoa de Chocolate recheado de brigadeiro meio amargo e mini trufa de chocolate 120g (100% off) - Move Gourmet,false,,,4748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,unlisted
ovo-de-pascoa-de-chocolate-recheado-com-brigadeiro-de-pistache-e-mini-trufa-de-chocolate-branco-120g-sca_clone_freegift,🎁 Ovo de Páscoa de chocolate recheado com brigadeiro de Pistache e mini trufa de chocolate branco. 120g (100% off),"<h2>
                This product is used for the app
                <span style=""text-decoration: underline;"" data-mce-style=""text-decoration: underline;"">
                    <strong>BOGOS.io Free Gift BOGO Bundle</strong>
                </span>
                <strong> to work. </strong>
            </h2>

            <p>
                Please do not delete/edit it while the offers are still running!
                <br>
                If you need assistance, please contact us via Live chat in-app or email us at:
                <span style=""color: #2b00ff;"">
                    <a href=""mailto:help@bogos.io"" target=""_blank"" style=""color: #2b00ff;"" rel=""noopener noreferrer"">help@bogos.io</a>.
                </span>
            </p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Doces e chocolates > Chocolate","",bogos-gift,true,Title,Default Title,,,,,,,,,120.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0774/1148/3884/files/WhatsApp_Image_2026-02-28_at_13.53.24_4de7821b-327a-4f84-998c-7fc06318d324.jpg?v=1773365173,1,🎁 Ovo de Páscoa de chocolate recheado com brigadeiro de Pistache e mini trufa de chocolate branco. 120g (100% off) - Move Gourmet,false,,,4748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,unlisted
ovo-de-pascoa-chocolate-branco-com-recheio-de-brigadeiro-de-pistache-e-mini-trufa-de-chocolate-120g-sca_clone_freegift,🎁 Ovo de Páscoa chocolate branco com recheio de brigadeiro de Pistache e mini trufa de chocolate. 120g (100% off),"<h2>
                This product is used for the app
                <span style=""text-decoration: underline;"" data-mce-style=""text-decoration: underline;"">
                    <strong>BOGOS.io Free Gift BOGO Bundle</strong>
                </span>
                <strong> to work. </strong>
            </h2>

            <p>
                Please do not delete/edit it while the offers are still running!
                <br>
                If you need assistance, please contact us via Live chat in-app or email us at:
                <span style=""color: #2b00ff;"">
                    <a href=""mailto:help@bogos.io"" target=""_blank"" style=""color: #2b00ff;"" rel=""noopener noreferrer"">help@bogos.io</a>.
                </span>
            </p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Doces e chocolates > Chocolate","",bogos-gift,true,Title,Default Title,,,,,,,,,120.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0774/1148/3884/files/WhatsApp_Image_2026-02-28_at_13.59.13_86d0c353-c34b-412b-a314-71ef7b2cb239.jpg?v=1773365174,1,🎁 Ovo de Páscoa chocolate branco com recheio de brigadeiro de Pistache e mini trufa de chocolate. 120g (100% off) - Move Gourmet,false,,,4748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,unlisted
ovo-de-pascoa-chocolate-branco-com-recheio-de-brigadeiro-branco-e-geleia-de-frutas-vermelhas-120g-sca_clone_freegift,🎁 Ovo de Páscoa Chocolate Branco com recheio de brigadeiro branco e geleia de frutas vermelhas. 120g (100% off),"<h2>
                This product is used for the app
                <span style=""text-decoration: underline;"" data-mce-style=""text-decoration: underline;"">
                    <strong>BOGOS.io Free Gift BOGO Bundle</strong>
                </span>
                <strong> to work. </strong>
            </h2>

            <p>
                Please do not delete/edit it while the offers are still running!
                <br>
                If you need assistance, please contact us via Live chat in-app or email us at:
                <span style=""color: #2b00ff;"">
                    <a href=""mailto:help@bogos.io"" target=""_blank"" style=""color: #2b00ff;"" rel=""noopener noreferrer"">help@bogos.io</a>.
                </span>
            </p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Doces e chocolates > Chocolate","",bogos-gift,true,Title,Default Title,,,,,,,,,120.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0774/1148/3884/files/WhatsApp_Image_2026-02-28_at_13.56.17_c79b8e47-9adf-400e-b995-fc83826b9ebc.jpg?v=1773365174,1,🎁 Ovo de Páscoa Chocolate Branco com recheio de brigadeiro branco e geleia de frutas vermelhas. 120g (100% off) - Move Gourmet,false,,,4748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,unlisted
shipping-protection,Shipping Protection,"Protect your order from damage, loss, or theft during shipping.",Move Gourmet,,Snap Cart Drawer - Shipping Protection,"",true,Title,Default,,,,,,,,,0.0,,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/protection.png?v=1773365175,1,Shipping Protection - Move Gourmet,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
gift-wrapping,Gift Wrapping,"Add an extra layer of protection to your order with gift wrapping, ensuring it stays safe from damage, loss, or theft during shipping.",Move Gourmet,,Snap Cart Drawer - Gift Wrapping,"",true,Title,Default,,,,,,,,,0.0,,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/gift-wrapper.png?v=1773365175,1,Gift Wrapping - Move Gourmet,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
pote-de-brigadeiro-de-colher-300-g-copia,Pote de Doce de Leite de Colher - 300 g,"<p data-start=""591"" data-end=""797"">Delicado, cremoso e cheio de sabor.<br data-start=""626"" data-end=""629"">Nosso doce de leite de colher possui textura macia e sabor equilibrado, perfeito para quem aprecia um clássico reinventado com ingredientes cuidadosamente selecionados.</p>
<p data-start=""799"" data-end=""864"">Ideal para saborear puro ou acompanhar suas sobremesas favoritas.</p>
<p data-start=""866"" data-end=""929""><strong data-start=""866"" data-end=""929"">Sem glúten • Sem lactose • Sem açúcar refinado • Sem poliol</strong></p>
<p data-start=""931"" data-end=""972"">✨ <strong data-start=""933"" data-end=""972"">Uma indulgência leve e sofisticada.</strong></p>
<p data-start=""974"" data-end=""997""><strong data-start=""974"" data-end=""997"">Peso líquido: 300 g</strong></p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Doces e chocolates > Chocolate",Doce,"Doce fit, Sem açucar, Sem glúten, Sem lactose, Zero poliol",true,Title,Default Title,,,,,,,,,300.0,shopify,deny,manual,65.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/5_46.jpg?v=1773282307,1,Pote de Doce de Leite de Colher - 300 g - Move Gourmet,false,,,4748,,,,,,,,,,,,,,"Nosso doce de leite de colher possui textura macia e sabor equilibrado, perfeito para quem aprecia um clássico reinventado com ingredientes cuidadosamente selecionados",,Pote de Doce de Leite de Colher - 300 g,,,,,outro,,sem-gluten; nao-contem-lactose,chocolate,,,,,,,,,,,,g,,,active
pote-de-brigadeiro-de-colher-300-g-copia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/4_64.jpg?v=1773282307,2,Pote de Doce de Leite de Colher - 300 g - Move Gourmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pote-de-brigadeiro-de-colher-300-g,Pote de Brigadeiro de Colher - 300 g,"<p data-start=""120"" data-end=""398"">Cremoso, intenso e simplesmente irresistível.<br data-start=""165"" data-end=""168"">O nosso brigadeiro de colher é preparado com ingredientes selecionados para oferecer uma experiência rica em sabor e textura aveludada, perfeita para quem ama chocolate e busca um doce sofisticado para saborear a qualquer momento.</p>
<p data-start=""400"" data-end=""463""><strong data-start=""400"" data-end=""463"">Sem glúten • Sem lactose • Sem açúcar refinado • Sem poliol</strong></p>
<p data-start=""465"" data-end=""507"">✨ <strong data-start=""467"" data-end=""507"">Doce prazer para saborear sem culpa.</strong></p>
<p data-start=""509"" data-end=""532""><strong data-start=""509"" data-end=""532"">Peso líquido: 300 g</strong></p>",Move Gourmet,"Alimentos, bebidas e tabaco > Alimentos > Doces e chocolates > Chocolate",Doce,"Doce fit, Sem açucar, Sem glúten, Sem lactose, Zero poliol",true,Title,Default Title,,,,,,,,,300.0,shopify,deny,manual,59.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0774/1148/3884/files/3_74.jpg?v=1773282308,1,Pote de Brigadeiro de Colher - 300 g - Move Gourmet,false,,,4748,,,,,,,,,,,,,,"Cremoso, intenso e simplesmente irresistível.O nosso brigadeiro de colher é preparado com ingredientes selecionados para oferecer uma experiência rica em sabor",,Pote de Brigadeiro de Colher - 300 g,,,,,chocolate-amargo,,sem-gluten; nao-contem-lactose,chocolate,,,,,,,,,,,,g,,,active
pote-de-brigadeiro-de-colher-300-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/2_67.jpg?v=1773282308,2,Pote de Brigadeiro de Colher - 300 g - Move Gourmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caixa-acrilica-premium-com-fita-de-cetim-20-x-20-cm,Caixa Acrílica Premium com Fita de Cetim — 20 x 20 cm,"<p data-start=""1322"" data-end=""1586"">Transparência, delicadeza e alto padrão em uma única embalagem. A caixa acrílica premium com fita de cetim é perfeita para presentear com requinte, valorizando o produto com um acabamento sofisticado e cores elegantes (lavanda, branca ou tiffany).</p>
<p data-start=""1588"" data-end=""1664""><strong data-start=""1588"" data-end=""1602"">Dimensões:</strong> 20 x 20 cm<br data-start=""1613"" data-end=""1616""><strong data-start=""1616"" data-end=""1638"">Cores disponíveis:</strong> lavanda, branca e tiffany</p>",Move Gourmet,Artes e entretenimento > Festas e comemorações > Dar presentes > Embrulhar presentes > Latas e caixas para presente,"","",true,Cor,tiffany,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,39.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0774/1148/3884/files/WhatsAppImage2026-02-28at14.37.05_1.jpg?v=1772478620,1,Caixa Acrílica Premium com Fita de Cetim — 20 x 20 cm - Move Gourmet,false,,,5091,,,,,,,,,,,,,,,,,,,,,,tiffany; lavanda; branco,,,,,,acrilico; cetim,quadrado,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/WhatsAppImage2026-02-28at14.37.05.jpg?v=1772536643,g,,,active
caixa-acrilica-premium-com-fita-de-cetim-20-x-20-cm,,,,,,,,,lavanda,,,,,,,,,0.0,shopify,deny,manual,39.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0774/1148/3884/files/WhatsAppImage2026-02-28at14.37.05.jpg?v=1772536643,2,Caixa Acrílica Premium com Fita de Cetim — 20 x 20 cm - Move Gourmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/WhatsAppImage2026-02-28at14.37.05_1.jpg?v=1772478620,g,,,
caixa-acrilica-premium-com-fita-de-cetim-20-x-20-cm,,,,,,,,,branco,,,,,,,,,0.0,shopify,deny,manual,39.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0774/1148/3884/files/WhatsAppImage2026-02-28at14.34.31_fac6026a-9d6b-4f86-b307-3f9a09f8ead2.jpg?v=1772478620,3,Caixa Acrílica Premium com Fita de Cetim — 20 x 20 cm - Move Gourmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0774/1148/3884/files/WhatsAppImage2026-02-28at14.34.31_fac6026a-9d6b-4f86-b307-3f9a09f8ead2.jpg?v=1772478620,g,,,
